service_id,date,exception_type
2020-MAFFN_A-Jeu-Ven-02-0001100,20200521,2
2020-MAFFN_A-Jeu-Ven-02,20200520,1
2020-MAFFN_A-Jeu-Ven-02-0001100,20200520,1
2020-MAFFN_C-Dimanche-02,20200510,2
2020-MAFFN_C-Dimanche-02,20200517,2
2020-MAFFN_C-Dimanche-02,20200524,2
2020-MAFFN_C-Dimanche-02,20200508,1
2020-MAFFN_C-Dimanche-02,20200521,1
2020-MAFFS_A-Semaine-05,20200508,2
2020-MAFFS_A-Semaine-05-0010000,20200508,2
2020-MAFFS_A-Semaine-05-1101100,20200508,2
2020-MAFFS_A-Semaine-05,20200520,2
2020-MAFFS_A-Semaine-05-0010000,20200520,2
2020-MAFFS_A-Semaine-05-1101100,20200520,2
2020-MAFFS_A-Semaine-05,20200521,2
2020-MAFFS_A-Semaine-05-0010000,20200521,2
2020-MAFFS_A-Semaine-05-1101100,20200521,2
